Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
La,76.02 ,Ce,23.98 ,,,,,,,,,,,,,,,,,,,,Electrospining,843 ,0.90 ,0.10 ,9.0 ,1.0 ,0.01 ,,17.8 ,27.0 ,33.0 ,40.0 ,73.0 ,13.0 
La,76.02 ,Ce,23.98 ,,,,,,,,,,,,,,,,,,,,Electrospining,973 ,0.92 ,0.08 ,11.0 ,1.0 ,0.01 ,,11.3 ,43.3 ,20.2 ,36.5 ,56.7 ,6.4 
La,76.02 ,Ce,23.98 ,,,,,,,,,,,,,,,,,,,,Electrospining,973 ,0.92 ,0.08 ,11.0 ,1.0 ,0.01 ,,16.8 ,23.8 ,28.2 ,48.0 ,76.2 ,12.8 
La,50.00 ,Al,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,773 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,1.8 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 
La,50.00 ,Al,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,823 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,13.9 ,92.2 ,1.5 ,6.3 ,7.8 ,1.1 
La,50.00 ,Al,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,873 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,21.4 ,77.6 ,7.2 ,15.2 ,22.4 ,4.8 
La,50.00 ,Al,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,923 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,22.5 ,66.0 ,15.2 ,18.8 ,34.0 ,7.6 
La,50.00 ,Al,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,973 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,22.5 ,61.7 ,19.2 ,19.2 ,38.3 ,8.6 
La,50.00 ,Al,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,1023 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,24.4 ,59.2 ,23.1 ,17.7 ,40.8 ,9.9 
La,50.00 ,Al,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,1073 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,24.5 ,59.3 ,25.8 ,14.8 ,40.7 ,10.0 
La,50.00 ,Fe,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,773 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,15.2 ,97.5 ,0.6 ,2.0 ,2.5 ,0.4 
La,50.00 ,Fe,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,823 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,15.2 ,95.6 ,0.7 ,3.8 ,4.4 ,0.7 
La,50.00 ,Fe,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,873 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,16.5 ,92.5 ,1.6 ,5.9 ,7.5 ,1.2 
La,50.00 ,Fe,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,923 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,17.0 ,88.2 ,2.8 ,9.0 ,11.8 ,2.0 
La,50.00 ,Fe,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,973 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,17.6 ,84.2 ,4.4 ,11.4 ,15.8 ,2.8 
La,50.00 ,Fe,50.00 ,,,,,,,,,,,,,,,,,,,,Sol-gel,1023 ,0.67 ,0.17 ,4.0 ,1.0 ,0.36 ,,17.8 ,81.4 ,6.2 ,12.4 ,18.6 ,3.3 
