,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
6126,1024.6,4.25,0.216,6.016338736
6127,1024.6,4.25,0.288,6.016338736
6128,1024.6,4.25,0.36,12.42381932
6129,1024.6,4.25,0.432,8.172252768
6130,1024.6,4.25,0.504,8.172252768
6131,1024.6,4.25,0.576,10.59707489
6132,1024.6,4.25,0.648,10.59707489
6133,1024.6,4.25,0.72,10.59707489
6134,1024.6,4.25,0.792,10.59707489
6135,1024.6,4.25,0.864,10.59707489
6136,1024.6,4.25,0.936,10.59707489
6137,1024.6,4.25,1.008,10.59707489
6138,1024.6,4.25,1.08,10.59707489
6139,1024.6,4.25,1.152,10.59707489
6140,1024.6,4.25,1.224,10.59707489
6141,1024.6,4.25,1.296,10.59707489
