Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,mean,std
862.2,5.75,0.648,0.770557994,-0.5187023,0.3571418
862.2,5.75,0.72,0.770557994,-0.5187023,0.3571418
862.2,5.75,0.792,0.770557994,-0.5187023,0.3571418
862.2,5.75,0.864,0.770557994,-0.5187023,0.3571418
862.2,5.75,0.936,0.770557994,-0.5187023,0.3571418
862.2,5.75,1.008,0.770557994,-0.5187023,0.3571418
862.2,5.75,1.08,0.770557994,-0.5187023,0.3571418
862.2,5.75,1.152,0.770557994,-0.5187023,0.3571418
862.2,5.75,1.224,0.770557994,-0.5187023,0.3571418
862.2,5.75,1.296,0.770557994,-0.5187023,0.3571418
862.2,5.75,1.368,0.770557994,-0.5187023,0.3571418
862.2,5.75,1.44,0.770557994,-0.5187023,0.3571418
862.2,6,0,5.016068602,-0.42553303,0.2811765
862.2,6,0.072,1.349984495,-0.420583,0.27652258
862.2,6,0.144,0,-0.538587,0.3753578
862.2,6,0.216,0,-0.538587,0.3753578
862.2,6,0.288,0,-0.538587,0.3753578
862.2,6,0.36,2.347010836,-0.4267979,0.28369215
862.2,6,0.432,0,-0.5187023,0.3571418
862.2,6,0.504,0,-0.5187023,0.3571418
862.2,6,0.576,0.770557994,-0.5187023,0.3571418
862.2,6,0.648,0.770557994,-0.5187023,0.3571418
862.2,6,0.72,0.770557994,-0.5187023,0.3571418
862.2,6,0.792,0.770557994,-0.5187023,0.3571418
862.2,6,0.864,0.770557994,-0.5187023,0.3571418
862.2,6,0.936,0.770557994,-0.5187023,0.3571418
862.2,6,1.008,0.770557994,-0.5187023,0.3571418
862.2,6,1.08,0.770557994,-0.5187023,0.3571418
862.2,6,1.152,0.770557994,-0.5187023,0.3571418
862.2,6,1.224,0.770557994,-0.5187023,0.3571418
862.2,6,1.296,0.770557994,-0.5187023,0.3571418
862.2,6,1.368,0.770557994,-0.5187023,0.3571418
862.2,6,1.44,0.770557994,-0.5187023,0.3571418
885.4,1,0,9.551309758,-0.4255249,0.2811681
885.4,1,0.072,6.994392112,-0.42057484,0.27651596
885.4,1,0.144,3.243188454,-0.53857887,0.3753474
885.4,1,0.216,2.962152095,-0.53857887,0.3753474
885.4,1,0.288,2.962152095,-0.53857887,0.3753474
885.4,1,0.36,9.589847711,-0.42678973,0.28368673
885.4,1,0.432,6.617509592,-0.51869416,0.35713157
885.4,1,0.504,6.617509592,-0.51869416,0.35713157
885.4,1,0.576,9.933110279,-0.51869416,0.35713157
885.4,1,0.648,9.933110279,-0.51869416,0.35713157
885.4,1,0.72,9.933110279,-0.51869416,0.35713157
885.4,1,0.792,9.933110279,-0.51869416,0.35713157
885.4,1,0.864,9.933110279,-0.51869416,0.35713157
885.4,1,0.936,9.933110279,-0.51869416,0.35713157
885.4,1,1.008,9.933110279,-0.51869416,0.35713157
885.4,1,1.08,9.933110279,-0.51869416,0.35713157
885.4,1,1.152,9.933110279,-0.51869416,0.35713157
885.4,1,1.224,9.933110279,-0.51869416,0.35713157
885.4,1,1.296,9.933110279,-0.51869416,0.35713157
885.4,1,1.368,9.933110279,-0.51869416,0.35713157
885.4,1,1.44,9.933110279,-0.51869416,0.35713157
885.4,1.25,0,9.551309758,-0.4255249,0.2811681
885.4,1.25,0.072,6.994392112,-0.42057484,0.27651596
885.4,1.25,0.144,3.243188454,-0.53857887,0.3753474
885.4,1.25,0.216,2.962152095,-0.53857887,0.3753474
885.4,1.25,0.288,2.962152095,-0.53857887,0.3753474
885.4,1.25,0.36,9.589847711,-0.42678973,0.28368673
885.4,1.25,0.432,6.617509592,-0.51869416,0.35713157
885.4,1.25,0.504,6.617509592,-0.51869416,0.35713157
885.4,1.25,0.576,9.933110279,-0.51869416,0.35713157
885.4,1.25,0.648,9.933110279,-0.51869416,0.35713157
885.4,1.25,0.72,9.933110279,-0.51869416,0.35713157
885.4,1.25,0.792,9.933110279,-0.51869416,0.35713157
885.4,1.25,0.864,9.933110279,-0.51869416,0.35713157
885.4,1.25,0.936,9.933110279,-0.51869416,0.35713157
885.4,1.25,1.008,9.933110279,-0.51869416,0.35713157
885.4,1.25,1.08,9.933110279,-0.51869416,0.35713157
885.4,1.25,1.152,9.933110279,-0.51869416,0.35713157
885.4,1.25,1.224,9.933110279,-0.51869416,0.35713157
885.4,1.25,1.296,9.933110279,-0.51869416,0.35713157
885.4,1.25,1.368,9.933110279,-0.51869416,0.35713157
885.4,1.25,1.44,9.933110279,-0.51869416,0.35713157
885.4,1.5,0,9.551309758,-0.4255249,0.2811681
885.4,1.5,0.072,6.994392112,-0.42057484,0.27651596
885.4,1.5,0.144,3.243188454,-0.53857887,0.3753474
885.4,1.5,0.216,2.962152095,-0.53857887,0.3753474
885.4,1.5,0.288,2.962152095,-0.53857887,0.3753474
